,Lot,Wafer,Mask,TestSite,Name,Date,Scrip ID,Script Version,Script Owner,Operator,Row,Column,ErrorFlag,Error description,Analysis Wavelengh,Rsq of Ref.spectrum(6th),Max transmission of Ref spec(dB),Rsq of IV,I at -1V[A],I at 1V[A]
0,P184640,D07,GORILLA5,DCM_LMZC,MZMCTE_LULAB_450_500,20190715_191538,process LMZ,0.1,B1,B1 team member,-1,-1,0,No Error,1550,0.998433484695695,-7.706903457641602,0.999999999999844,2.603237e-08,0.006701705
1,P184640,D07,GORILLA5,DCM_LMZC,MZMCTE_LULAB_450_500,20190715_192145,process LMZ,0.1,B1,B1 team member,-1,-3,0,No Error,1550,0.9972272283628291,-8.910146713256836,0.9999999999996755,4.890819e-08,0.006328398
2,P184640,D07,GORILLA5,DCM_LMZC,MZMCTE_LULAB_450_500,20190715_202217,process LMZ,0.1,B1,B1 team member,-1,3,0,No Error,1550,0.9971717779454841,-9.376518249511719,0.9999999999999648,4.591942e-08,0.006375596
3,P184640,D07,GORILLA5,DCM_LMZC,MZMCTE_LULAB_450_500,20190715_195142,process LMZ,0.1,B1,B1 team member,-3,-3,0,No Error,1550,0.996162399964175,-8.18753433227539,0.9999999999997223,5.465495e-08,0.006316235
4,P184640,D07,GORILLA5,DCM_LMZC,MZMCTE_LULAB_450_500,20190715_193943,process LMZ,0.1,B1,B1 team member,-3,0,0,No Error,1550,0.9981042262998266,-8.77216625213623,0.9999999999999537,4.814727e-08,0.006532866
5,P184640,D07,GORILLA5,DCM_LMZC,MZMCTE_LULAB_450_500,20190715_202835,process LMZ,0.1,B1,B1 team member,-3,2,0,No Error,1550,0.998876254964523,-9.400176048278809,0.9999999999999539,6.663287e-08,0.006519705
6,P184640,D07,GORILLA5,DCM_LMZC,MZMCTE_LULAB_450_500,20190715_194543,process LMZ,0.1,B1,B1 team member,-4,-1,1,Rsq_Ref Error,1550,0.9951006399582799,-9.466469764709473,1.0000000000001232,7.783068e-08,0.006401758
7,P184640,D07,GORILLA5,DCM_LMZC,MZMCTE_LULAB_450_500,20190715_195751,process LMZ,0.1,B1,B1 team member,0,-4,0,No Error,1550,0.9971875913912058,-9.5784330368042,1.0000000000000118,6.760271e-08,0.006039913
8,P184640,D07,GORILLA5,DCM_LMZC,MZMCTE_LULAB_450_500,20190715_190927,process LMZ,0.1,B1,B1 team member,0,0,0,No Error,1550,0.9985870860797279,-7.655776023864746,0.9999999999999142,8.955287e-09,0.006707282
9,P184640,D07,GORILLA5,DCM_LMZC,MZMCTE_LULAB_450_500,20190715_193343,process LMZ,0.1,B1,B1 team member,0,2,0,No Error,1550,0.9973771732861146,-7.897572994232178,1.0000000000000564,4.150557e-08,0.006591849
10,P184640,D07,GORILLA5,DCM_LMZC,MZMCTE_LULAB_450_500,20190715_192743,process LMZ,0.1,B1,B1 team member,2,-1,0,No Error,1550,0.9983007045396691,-8.010892868041992,0.9999999999999462,4.594612e-08,0.006384568
11,P184640,D07,GORILLA5,DCM_LMZC,MZMCTE_LULAB_450_500,20190715_200355,process LMZ,0.1,B1,B1 team member,2,-3,0,No Error,1550,0.998213085729751,-9.296346664428711,0.9999999999999336,6.184592e-08,0.006069297
12,P184640,D07,GORILLA5,DCM_LMZC,MZMCTE_LULAB_450_500,20190715_201553,process LMZ,0.1,B1,B1 team member,2,2,0,No Error,1550,0.9967788092737596,-8.184820175170898,0.9999999999998085,4.804727e-08,0.006130083
13,P184640,D07,GORILLA5,DCM_LMZC,MZMCTE_LULAB_450_500,20190715_200955,process LMZ,0.1,B1,B1 team member,3,0,0,No Error,1550,0.9989505141627478,-8.617244720458984,1.000000000000023,4.971618e-08,0.005950628
14,P184640,D08,GORILLA5,DCM_LMZO,MZMOTE_LULAB_380_500,20190526_092258,process LMZ,0.1,B1,B1 team member,-1,-1,0,No Error,1310,0.9989024544114958,-5.2746710777282715,0.9999999999999876,5.312546e-08,0.006792969
15,P184640,D08,GORILLA5,DCM_LMZO,MZMOTE_LULAB_380_500,20190526_095449,process LMZ,0.1,B1,B1 team member,-1,-3,0,No Error,1310,0.999452528031387,-5.343724727630615,0.9999999999998188,6.287032e-08,0.006482825
16,P184640,D08,GORILLA5,DCM_LMZO,MZMOTE_LULAB_380_500,20190526_151412,process LMZ,0.1,B1,B1 team member,-1,3,0,No Error,1310,0.9993822858412456,-6.145711898803711,1.0000000000000642,5.356805e-08,0.006656053
17,P184640,D08,GORILLA5,DCM_LMZO,MZMOTE_LULAB_380_500,20190526_123434,process LMZ,0.1,B1,B1 team member,-3,-3,0,No Error,1310,0.9991628093799227,-5.836416721343994,1.0000000000000353,6.76181e-08,0.006389174
18,P184640,D08,GORILLA5,DCM_LMZO,MZMOTE_LULAB_380_500,20190526_113043,process LMZ,0.1,B1,B1 team member,-3,0,0,No Error,1310,0.9995085794836595,-5.431687831878662,0.9999999999996892,3.847792e-08,0.006725123
19,P184640,D08,GORILLA5,DCM_LMZO,MZMOTE_LULAB_380_500,20190526_154606,process LMZ,0.1,B1,B1 team member,-3,2,0,No Error,1310,0.9994534537270975,-6.433998107910156,0.9999999999999918,5.937685e-08,0.006824251
20,P184640,D08,GORILLA5,DCM_LMZO,MZMOTE_LULAB_380_500,20190526_120237,process LMZ,0.1,B1,B1 team member,-4,-1,0,No Error,1310,0.999056674680989,-6.07033109664917,1.0000000000000353,7.64046e-08,0.006439532
21,P184640,D08,GORILLA5,DCM_LMZO,MZMOTE_LULAB_380_500,20190526_130626,process LMZ,0.1,B1,B1 team member,0,-4,0,No Error,1310,0.9994107621506001,-6.224576473236084,1.0000000000000486,7.636219e-08,0.006464111
22,P184640,D08,GORILLA5,DCM_LMZO,MZMOTE_LULAB_380_500,20190526_085101,process LMZ,0.1,B1,B1 team member,0,0,0,No Error,1310,0.9986124669810619,-5.705437660217285,1.0000000000000142,7.203803e-08,0.006919174
23,P184640,D08,GORILLA5,DCM_LMZO,MZMOTE_LULAB_380_500,20190526_105849,process LMZ,0.1,B1,B1 team member,0,2,0,No Error,1310,0.9992476139899094,-5.233897686004639,0.9999999999999737,3.444476e-08,0.006729574
24,P184640,D08,GORILLA5,DCM_LMZO,MZMOTE_LULAB_380_500,20190526_102652,process LMZ,0.1,B1,B1 team member,2,-1,0,No Error,1310,0.9973924223451467,-5.642453193664551,0.9999999999998608,3.536833e-08,0.00634805
25,P184640,D08,GORILLA5,DCM_LMZO,MZMOTE_LULAB_380_500,20190526_133820,process LMZ,0.1,B1,B1 team member,2,-3,0,No Error,1310,0.9992848620610808,-6.260358810424805,0.9999999999998556,6.346043e-08,0.006409498
26,P184640,D08,GORILLA5,DCM_LMZO,MZMOTE_LULAB_380_500,20190526_144214,process LMZ,0.1,B1,B1 team member,2,2,0,No Error,1310,0.99921714885119,-5.628704071044922,0.9999999999999499,3.94475e-08,0.006442896
